TEAM_ID,SEASON,W_PCT,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,STL,BLK,OREB,DREB,PF,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,AST_PCT,REB_PCT,TM_TOV_PCT
1610612761,2016-17,0.622,106.9,43.3,18.5,12.7,0.464,0.363,0.796,8.3,4.9,10.6,32.6,20.8,111.4,107.1,4.3,95.41,0.561,0.472,0.505,0.132
1610612762,2016-17,0.622,100.7,43.2,20.1,13.6,0.466,0.372,0.747,6.7,5.0,9.4,33.8,18.8,109.0,104.7,4.3,92.09,0.563,0.544,0.514,0.148
1610612764,2016-17,0.598,109.2,42.9,23.9,14.2,0.475,0.372,0.784,8.5,4.1,10.3,32.6,21.3,110.4,108.8,1.7,97.94,0.564,0.577,0.501,0.143
1610612737,2017-18,0.293,103.4,41.9,23.7,15.5,0.446,0.36,0.785,7.8,4.2,9.1,32.8,19.6,104.4,110.1,-5.7,98.76,0.547,0.622,0.489,0.157
1610612738,2017-18,0.671,104.0,44.5,22.5,14.0,0.45,0.377,0.771,7.4,4.5,9.4,35.1,19.7,106.8,103.2,3.6,96.75,0.552,0.586,0.504,0.144
1610612751,2017-18,0.341,106.6,44.4,23.7,15.2,0.441,0.356,0.772,6.2,4.8,9.7,34.8,20.6,106.1,109.7,-3.6,99.66,0.551,0.619,0.489,0.151
1610612766,2017-18,0.439,108.2,45.5,21.6,12.7,0.45,0.369,0.747,6.8,4.5,10.1,35.4,17.2,109.0,109.0,-0.1,98.66,0.549,0.554,0.512,0.128
1610612741,2017-18,0.329,102.9,44.7,23.5,14.0,0.435,0.355,0.759,7.6,3.5,9.6,35.0,19.2,103.4,110.5,-7.0,98.65,0.529,0.607,0.5,0.141
1610612739,2017-18,0.61,110.9,42.1,23.4,13.7,0.476,0.372,0.779,7.1,3.8,8.5,33.7,18.6,112.0,111.1,1.0,98.72,0.584,0.579,0.492,0.139
1610612742,2017-18,0.293,102.3,41.3,22.7,12.3,0.444,0.36,0.763,7.0,3.8,8.1,33.1,19.2,105.4,108.4,-2.9,96.53,0.544,0.594,0.478,0.127
1610612743,2017-18,0.561,110.0,44.5,25.1,15.0,0.47,0.371,0.767,7.6,4.9,11.0,33.5,18.7,111.4,110.0,1.4,97.69,0.57,0.617,0.517,0.151
1610612765,2017-18,0.476,103.8,43.7,22.8,13.4,0.45,0.373,0.745,7.7,3.9,10.1,33.6,18.4,106.6,106.7,-0.1,96.75,0.543,0.582,0.499,0.138
1610612744,2017-18,0.707,113.5,43.5,29.3,15.4,0.503,0.391,0.815,8.0,7.5,8.4,35.1,19.6,112.8,106.8,5.9,100.35,0.603,0.685,0.497,0.153
1610612745,2017-18,0.793,112.4,43.5,21.5,13.8,0.46,0.362,0.781,8.5,4.8,9.0,34.5,19.5,114.1,105.7,8.4,98.02,0.59,0.557,0.503,0.141
1610612754,2017-18,0.585,105.6,42.3,22.2,13.3,0.472,0.369,0.779,8.8,4.1,9.6,32.7,18.8,108.5,107.3,1.3,96.84,0.557,0.544,0.496,0.136
1610612746,2017-18,0.512,109.0,43.9,22.3,14.7,0.471,0.354,0.743,7.7,4.5,10.1,33.7,20.0,109.4,109.2,0.2,99.54,0.564,0.555,0.504,0.147
1610612747,2017-18,0.427,108.1,46.4,23.8,15.8,0.461,0.345,0.714,7.7,4.7,10.7,35.7,21.2,106.0,107.3,-1.3,100.9,0.548,0.584,0.505,0.155
1610612763,2017-18,0.268,99.3,40.5,21.5,15.0,0.444,0.352,0.786,7.5,4.8,9.5,31.0,23.2,103.6,110.4,-6.8,95.65,0.539,0.586,0.493,0.156
1610612748,2017-18,0.537,103.4,43.5,22.7,14.4,0.455,0.36,0.755,7.6,5.3,9.3,34.2,20.1,106.2,105.8,0.4,96.1,0.551,0.585,0.501,0.148
1610612749,2017-18,0.537,106.5,39.8,23.2,13.8,0.478,0.355,0.783,8.8,5.4,8.4,31.5,21.4,109.0,109.1,-0.2,97.03,0.571,0.585,0.48,0.142
1610612750,2017-18,0.573,109.5,42.0,22.7,12.5,0.476,0.357,0.804,8.4,4.2,10.3,31.6,18.2,112.5,110.2,2.3,96.75,0.566,0.553,0.503,0.128
1610612740,2017-18,0.585,111.7,44.3,26.8,14.9,0.483,0.362,0.772,8.0,5.9,8.7,35.6,19.1,108.5,107.4,1.1,101.48,0.573,0.627,0.494,0.145
1610612752,2017-18,0.354,104.5,44.0,23.3,14.7,0.464,0.352,0.787,6.7,5.1,10.5,33.6,20.5,106.3,109.7,-3.4,97.64,0.544,0.573,0.509,0.15
1610612760,2017-18,0.585,107.9,45.1,21.3,14.0,0.453,0.354,0.716,9.1,5.0,12.5,32.6,20.2,110.1,106.4,3.7,97.34,0.546,0.535,0.515,0.143
1610612753,2017-18,0.305,103.4,41.6,23.4,14.5,0.452,0.351,0.757,7.6,4.9,8.8,32.8,19.3,104.7,109.4,-4.7,98.58,0.545,0.604,0.48,0.147
1610612755,2017-18,0.634,109.8,47.4,27.1,16.5,0.472,0.369,0.752,8.3,5.1,10.9,36.5,22.1,108.5,103.9,4.6,100.75,0.568,0.663,0.52,0.163
1610612756,2017-18,0.256,103.9,44.1,21.3,15.7,0.442,0.334,0.741,6.9,4.5,10.3,33.9,22.0,102.8,111.7,-9.0,101.14,0.532,0.553,0.493,0.155
1610612757,2017-18,0.598,105.6,45.5,19.5,13.5,0.452,0.366,0.8,7.0,5.2,10.2,35.3,19.5,108.4,105.7,2.7,97.11,0.549,0.496,0.513,0.139
1610612758,2017-18,0.329,98.8,40.9,21.6,13.7,0.45,0.375,0.735,7.8,4.1,9.5,31.4,20.0,103.1,110.4,-7.3,95.5,0.529,0.556,0.489,0.143
1610612759,2017-18,0.573,102.7,44.2,22.8,13.1,0.457,0.352,0.772,7.7,5.6,10.4,33.9,17.2,107.1,104.1,3.0,95.7,0.543,0.583,0.508,0.137
1610612761,2017-18,0.72,111.7,44.0,24.3,13.4,0.472,0.358,0.794,7.6,6.1,9.8,34.2,21.7,113.0,105.3,7.7,98.02,0.575,0.59,0.502,0.135
1610612762,2017-18,0.585,104.1,43.3,22.4,14.7,0.462,0.366,0.779,8.6,5.1,9.0,34.2,19.6,107.4,103.0,4.4,96.58,0.564,0.586,0.509,0.152
1610612764,2017-18,0.524,106.6,43.1,25.2,14.6,0.467,0.375,0.772,7.9,4.3,10.0,33.1,21.3,108.1,107.7,0.4,97.67,0.56,0.631,0.504,0.148
1610612737,2018-19,0.354,113.3,46.1,25.8,17.0,0.451,0.352,0.752,8.2,5.1,11.6,34.5,23.6,107.5,113.1,-5.5,104.56,0.555,0.624,0.496,0.162
1610612738,2018-19,0.598,112.4,44.5,26.3,12.8,0.465,0.365,0.802,8.6,5.3,9.8,34.7,20.4,111.3,107.0,4.3,100.43,0.567,0.624,0.495,0.127
